l,A,D50,D65
380,9.8,24.49,49.98
385,10.9,27.18,52.31
390,12.09,29.87,54.65
395,13.35,39.59,68.7
400,14.71,49.31,82.75
405,16.15,52.91,87.12
410,17.68,56.51,91.49
415,19.29,58.27,92.46
420,20.99,60.03,93.43
425,22.79,58.93,90.06
430,24.67,57.82,86.68
435,26.64,66.32,95.77
440,28.7,74.82,104.86
445,30.85,81.04,110.94
450,33.09,87.25,117.01
455,35.41,88.93,117.41
460,37.81,90.61,117.81
465,40.3,90.99,116.34
470,42.87,91.37,114.86
475,54.52,93.24,115.39
480,48.24,95.11,115.92
485,51.04,93.54,112.37
490,53.91,91.96,108.81
495,56.85,93.84,109.08
500,59.86,95.72,109.35
505,62.93,96.17,108.58
510,66.06,96.61,107.8
515,69.25,96.87,106.3
520,72.5,97.13,104.79
525,75.79,99.61,106.24
530,79.13,102.1,107.69
535,82.52,101.43,106.05
540,85.95,100.75,104.41
545,89.41,101.54,104.23
550,92.91,102.32,104.05
555,96.44,101.16,102.02
560,100,100,100
565,103.58,98.87,98.17
570,107.18,97.74,96.33
575,110.8,98.33,96.06
580,114.44,98.92,95.79
585,118.08,96.21,92.24
590,121.73,93.5,88.69
595,125.39,95.59,89.35
600,129.04,97.69,90.01
605,132.7,98.48,89.8
610,136.35,99.27,89.6
615,139.99,99.16,88.65
620,143.62,99.04,87.7
625,147.24,97.38,85.49
630,150.84,95.72,83.29
635,154.42,97.29,83.49
640,157.98,98.86,83.7
645,161.52,97.26,81.86
650,165.03,95.67,80.03
655,168.51,96.93,80.12
660,171.96,98.19,80.21
665,175.38,100.6,81.25
670,178.77,103,82.28
675,182.12,101.07,80.28
680,185.43,99.13,78.28
685,188.7,93.26,74
690,191.93,87.38,69.72
695,195.12,89.49,70.67
700,198.26,91.6,71.61
705,201.36,92.25,72.98
710,204.41,92.89,74.35
715,207.41,84.87,67.98
720,210.36,76.85,61.6
725,213.27,81.68,65.74
730,216.12,86.51,69.89
735,218.92,89.55,72.49
740,221.67,92.58,75.09
745,224.36,85.4,69.34
750,227,78.23,63.59
755,229.59,67.96,55.01
760,232.21,57.69,46.42
765,234.59,70.31,56.61
770,237.01,82.92,66.81
775,239.37,80.6,65.09
780,241.68,78.27,63.38
